ORTHOMCL	NCRA	CTHT	Pfam	CAZY	MEROPS
ORTHO_00000	2	41	RVT_1 (7); Ank_2 (5); Ank_4 (5); RhoGAP (2); Ank_3 (2); NACHT (2); Exo_endo_phos_2 (2); Ank (2); PNP_UDP_1 (1)		
ORTHO_00001	0	26	Exo_endo_phos_2 (1)		
ORTHO_00002	8	10	Methyltransf_23 (18); Methyltransf_11 (18); Methyltransf_25 (16); Methyltransf_12 (6); Ubie_methyltran (5); Methyltransf_31 (3); MTS (2)		
ORTHO_00003	16	2	HET (19); Ank_2 (2); Ank_3 (1); Ank_4 (1); Ank (1); Ank_5 (1)		
ORTHO_00004	14	1	HET (15)		
ORTHO_00005	6	5	Glyco_hydro_3 (11); Fn3-like (11); Glyco_hydro_3_C (11); FAD_binding_2 (1); NAD_binding_8 (1); Pyr_redox_2 (1); FAD_binding_3 (1)	GH3.hmm (10)	
ORTHO_00006	5	5	OB_NTP_bind (10); HA2 (10); Helicase_C (10); DEAD (7); S1 (2); AAA_22 (2); DUF2075 (1); G-patch (1)		
ORTHO_00007	10	0	SAP (2); zf-RING_2 (1); SWIM (1)		
ORTHO_00008	10	0	HET (10)		
ORTHO_00009	10	0			
ORTHO_00010	5	5	ABC_tran (21); ABC_membrane (19)		
ORTHO_00011	9	0	Ifi-6-16 (5)		
ORTHO_00012	8	1			
ORTHO_00013	9	0	Methyltransf_25 (9); Methyltransf_23 (9); Methyltransf_11 (9); Methyltransf_12 (5); Ubie_methyltran (2); Methyltransf_31 (2)		
ORTHO_00014	6	3	PS-DH (9); PP-binding (8); KR (8); Acyl_transf_1 (8); Ketoacyl-synt_C (8); ketoacyl-synt (8); adh_short (7); KAsynt_C_assoc (6); adh_short_C2 (3); ADH_zinc_N (2); ADH_zinc_N_2 (2); ADH_N (2); Thiolase_N (1); Methyltransf_23 (1); 3Beta_HSD (1); Ubie_methyltran (1); Methyltransf_25 (1); Methyltransf_12 (1); Methyltransf_11 (1); Methyltransf_31 (1)		
ORTHO_00015	4	5	ABC2_membrane (19); ABC_tran (18); PDR_CDR (10); ABC_trans_N (8)		
ORTHO_00016	9	0			
ORTHO_00017	7	1	NACHT (4); HeLo (2)		
ORTHO_00018	8	0			
ORTHO_00019	8	0			
ORTHO_00020	8	0			
ORTHO_00021	4	4	HSP70 (9); MreB_Mbl (8); FGGY_C (2)		
ORTHO_00022	8	0			
ORTHO_00023	8	0			
ORTHO_00024	7	0	DUF3328 (7)		
ORTHO_00025	7	0			
ORTHO_00026	3	4	E1-E2_ATPase (14); Cation_ATPase_N (7); Cation_ATPase_C (7); Hydrolase (7); Cation_ATPase (7); Hydrolase_3 (5); Thioredoxin (1); Thioredoxin_6 (1)		
ORTHO_00027	7	0			
ORTHO_00028	4	3	Pectate_lyase_3 (14)	GH55.hmm (7)	
ORTHO_00029	3	4			
ORTHO_00030	7	0			
ORTHO_00031	6	0	RNase_H (1)		
ORTHO_00032	5	1	Alk_phosphatase (5); Metalloenzyme (3); Abhydrolase_1 (3); DSPc (3); Abhydrolase_6 (3); Hydrolase_4 (3)	CE1.hmm (2)	
ORTHO_00033	5	1			
ORTHO_00034	6	0			
ORTHO_00035	5	1			
ORTHO_00036	6	0	LAGLIDADG_1 (6); Proton_antipo_M (2); ATP-synt_A (2); Oxidored_q2 (2)		
ORTHO_00037	3	3	OPT (6)		
ORTHO_00038	5	1	Pkinase_Tyr (6); Pkinase (6)		
ORTHO_00039	6	0			
ORTHO_00040	5	1	BTB (1)		
ORTHO_00041	5	1	Lactamase_B (6); HAGH_C (6)		
ORTHO_00042	6	0			
ORTHO_00043	3	3	Chitin_synth_1 (6); Chitin_synth_1N (6); Chitin_synth_2 (6); Glyco_trans_2_3 (2)	GT2.hmm (2)	
ORTHO_00044	6	0	HET (6)		
ORTHO_00045	3	3	MFS_1 (5)		
ORTHO_00046	4	2	ABC_membrane (12); ABC_tran (12)		
ORTHO_00047	3	3	Methyltransf_2 (6)		
ORTHO_00048	4	2	Citrate_synt (6)		
ORTHO_00049	6	0			
ORTHO_00050	3	3	Sugar_tr (6); MFS_1 (6); ABC_tran (2); AAA_21 (1); ABC_tran_Xtn (1)		
ORTHO_00051	0	6	Retrotrans_gag (2); RVT_1 (2); zf-CCHC (1)		
ORTHO_00052	4	1	IQ (14); RasGAP_C (5); CH (5); RasGAP (5)		
ORTHO_00053	4	1	p450 (5)		
ORTHO_00054	4	1	Pmp3 (5)		
ORTHO_00055	5	0	Pkinase (8); Pkinase_Tyr (1)		
ORTHO_00056	4	1	SET (5)		
ORTHO_00057	4	1			
ORTHO_00058	5	0			
ORTHO_00059	5	0	DUF3176 (4)		
ORTHO_00060	3	2	SHMT (5); Aminotran_1_2 (1)		
ORTHO_00061	4	1	ASXH (5); Zn_clus (4)		
ORTHO_00062	3	2	Pkinase (5); Pkinase_Tyr (5)		
ORTHO_00063	5	0	HET (5)		
ORTHO_00064	4	1	Usp (10)		
ORTHO_00065	4	1	Transglut_core (5); Rad4 (5)		
ORTHO_00066	5	0			
ORTHO_00067	5	0	PAS_9 (9); PAS (4); PAS_3 (4); GATA (4)		
ORTHO_00068	4	1	Glycogen_syn (5)	GT3.hmm (5)	
ORTHO_00069	4	1	BPL_LplA_LipB (1)		
ORTHO_00070	5	0	Ank_2 (6); Ank_4 (4); AAA_16 (4); NACHT (4); Ank (2)		
ORTHO_00071	4	1	RRM_1 (15)		
ORTHO_00072	4	1	Thi4 (5); NAD_binding_8 (1)		
ORTHO_00073	3	2	PHM7_cyt (5); RSN1_TM (5); RSN1_7TM (5); PHM7_ext (5)		
ORTHO_00074	4	1	Cu-oxidase (5); Cu-oxidase_3 (5); Cu-oxidase_2 (5)	AA1.hmm (3)	
ORTHO_00075	4	1	HECT (5)		
ORTHO_00076	4	1	TBCC_N (5); TBCC (5)		
ORTHO_00077	4	1	DUF1748 (5)		
ORTHO_00078	5	0			
ORTHO_00079	4	1	Ank_2 (6); Ank (5); Asparaginase (5); Ank_4 (1); Ank_5 (1); Ank_3 (1)		
ORTHO_00080	4	1	zf-C2H2 (5)		
ORTHO_00081	5	0			
ORTHO_00082	4	1	Syntaxin (5); SNARE (5)		
ORTHO_00083	3	2	Gln-synt_C (5); Gln-synt_N (5)		
ORTHO_00084	3	2	Glyco_transf_28 (4); UDPGT (3); Kinetochor_Ybp2 (2); SET (1)	GT1.hmm (4)	
ORTHO_00085	1	4	GMC_oxred_N (5); GMC_oxred_C (5); NAD_binding_8 (1)	AA3.hmm (5)	
ORTHO_00086	1	4	Methyltransf_25 (5); Methyltransf_23 (5); Methyltransf_11 (5); Methyltransf_12 (2); Methyltransf_31 (1); FtsJ (1)		
ORTHO_00087	3	2	AA_permease_2 (4); AA_permease (4); Glyco_hydro_47 (2)	GH47.hmm (2)	
ORTHO_00088	3	1	PX (4)		
ORTHO_00089	4	0	LysM (12)	CBM50.hmm (10)	
ORTHO_00090	2	2	RNA_pol_Rpb2_3 (4); RNA_pol_Rpb2_1 (4); RNA_pol_Rpb2_4 (4); RNA_pol_Rpb2_6 (4); RNA_pol_Rpb2_2 (4); RNA_pol_Rpb2_7 (4); RNA_pol_Rpb2_5 (4)		
ORTHO_00091	4	0	Cytochrome_B (3); Cytochrom_B_N_2 (3); NUMOD3 (3); NUMOD1 (2); GIY-YIG (2); LAGLIDADG_1 (1); Cytochrom_B_C (1)		
ORTHO_00092	3	1			
ORTHO_00093	3	1			
ORTHO_00094	3	1	Glyco_trans_2_3 (4); Glycos_transf_2 (2)	GT2.hmm (3)	
ORTHO_00095	2	2	Glyco_hydro_76 (4)	GH76.hmm (4)	
ORTHO_00096	3	1	Bac_surface_Ag (4)		
ORTHO_00097	4	0			
ORTHO_00098	3	1			
ORTHO_00099	4	0			
ORTHO_00100	3	1			
ORTHO_00101	4	0	CFEM (4)		
ORTHO_00102	4	0	Bac_luciferase (4)		
ORTHO_00103	2	2	CDH-cyt (4); GMC_oxred_N (4); GMC_oxred_C (4); CBM_1 (2); NAD_binding_8 (1); FAD_binding_2 (1)	AA8.hmm (4)	
ORTHO_00104	3	1	zf-ANAPC11 (4); zf-RING_2 (4); zf-rbx1 (4); zf-C3HC4 (1)		
ORTHO_00105	3	1	HMG_box (4); HMG_box_2 (4)		
ORTHO_00106	4	0			
ORTHO_00107	3	1	DENN (4); uDENN (4); dDENN (4)		
ORTHO_00108	3	1			
ORTHO_00109	4	0	Dynamin_N (4); MMR_HSR1 (1)		
ORTHO_00110	3	1	PWI (4)		
ORTHO_00111	2	2	DEAD (4); Helicase_C (4); ResIII (2)		
ORTHO_00112	3	1	SUR7 (4)		
ORTHO_00113	4	0			
ORTHO_00114	2	2	LysM (4); Glyco_hydro_18 (3); Hce2 (3); Chitin_bind_1 (1)	CBM50.hmm (4); CBM18.hmm (3); GH18.hmm (3)	
ORTHO_00115	3	1			
ORTHO_00116	3	1	Fungal_trans (2); Zn_clus (1)		
ORTHO_00117	4	0	Ribosomal_S30 (4)		
ORTHO_00118	3	1	Aminotran_3 (4)		
ORTHO_00119	4	0			
ORTHO_00120	3	1			
ORTHO_00121	3	1	Na_Ca_ex (7)		
ORTHO_00122	2	2	TRP_N (4); TRP (4)		
ORTHO_00123	3	1	Peptidase_S8 (4); P_proprotein (4)		MER000375 (4); MER001514 (4); MER000374 (4); MER001604 (4); MER192109 (4); MER001603 (4); MER000381 (4); MER000364 (4); MER002264 (3); MER004113 (3); MER001778 (1); MER000376 (1)
ORTHO_00124	4	0	adh_short_C2 (6); adh_short (4); KR (4)		
ORTHO_00125	3	1	Zn_clus (4); Fungal_trans (4)		
ORTHO_00126	3	1	MFS_1 (4)		
ORTHO_00127	3	1	NDT80_PhoG (4)		
ORTHO_00128	3	1	TIP120 (4)		
ORTHO_00129	3	1	WSC (4)		
